peptide_id	GO_id	GO_Def	Evalues
Eucgr.D01624.1.p	GO:0016491,GO:0055114,GO:0050660	GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]; GO:0050660[flavin adenine dinucleotide binding]	GO:0016491[8.6e-21]; GO:0055114[8.6e-21]; GO:0050660[8.6e-21]
Eucgr.D01625.1.p	GO:0016491,GO:0055114,GO:0050660	GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]; GO:0050660[flavin adenine dinucleotide binding]	GO:0016491[1.5e-28]; GO:0055114[1.5e-28]; GO:0050660[1.5e-28]
Eucgr.D01626.1.p	GO:0016491,GO:0055114,GO:0050660	GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]; GO:0050660[flavin adenine dinucleotide binding]	GO:0016491[3e-29]; GO:0055114[3e-29]; GO:0050660[3e-29]
Eucgr.D01628.1.p	GO:0006260,GO:0003678,GO:0005524	GO:0006260[DNA replication]; GO:0003678[DNA helicase activity]; GO:0005524[ATP binding]	GO:0006260[1.2e-07]; GO:0003678[1.2e-07]; GO:0005524[1.2e-07]
Eucgr.D01628.2.p	GO:0006260,GO:0003678,GO:0005524	GO:0006260[DNA replication]; GO:0003678[DNA helicase activity]; GO:0005524[ATP binding]	GO:0006260[1.1e-05]; GO:0003678[1.1e-05]; GO:0005524[1.1e-05]
Eucgr.D01630.1.p	GO:0046983	GO:0046983[protein dimerization activity]	GO:0046983[9.7e-07]
Eucgr.D01632.1.p	GO:0016020,GO:0016747,GO:0004315,GO:0006633	GO:0016020[membrane]; GO:0016747[transferase activity, transferring acyl groups other than amino-acyl groups]; GO:0004315[3-oxoacyl-[acyl-carrier-protein] synthase activity]; GO:0006633[fatty acid biosynthetic process]	GO:0016020[2.5e-05]; GO:0016747[2.5e-05]; GO:0004315[4.3e-05]; GO:0006633[2.5e-05]
Eucgr.D01633.1.p	GO:0005506,GO:0016705,GO:0020037,GO:0055114	GO:0005506[iron ion binding]; GO:0016705[oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen]; GO:0020037[heme binding]; GO:0055114[oxidation-reduction process]	GO:0005506[2.5e-99]; GO:0016705[2.5e-99]; GO:0020037[2.5e-99]; GO:0055114[2.5e-99]
Eucgr.D01637.1.p	-	-	-
Eucgr.D01640.1.p	-	-	-
Eucgr.E00001.1.p	GO:0003824,GO:0055114,GO:0050662,GO:0006694,GO:0016616,GO:0003854	GO:0003824[catalytic activity]; GO:0055114[oxidation-reduction process]; GO:0050662[coenzyme binding]; GO:0006694[steroid biosynthetic process]; GO:0016616[oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor]; GO:0003854[3-beta-hydroxy-delta5-steroid dehydrogenase activity]	GO:0003824[2.1e-09]; GO:0055114[6.1e-06]; GO:0050662[2.1e-09]; GO:0006694[6.1e-06]; GO:0016616[6.1e-06]; GO:0003854[6.1e-06]
Eucgr.E00003.1.p	GO:0003824,GO:0055114,GO:0050662,GO:0006694,GO:0016616,GO:0003854	GO:0003824[catalytic activity]; GO:0055114[oxidation-reduction process]; GO:0050662[coenzyme binding]; GO:0006694[steroid biosynthetic process]; GO:0016616[oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor]; GO:0003854[3-beta-hydroxy-delta5-steroid dehydrogenase activity]	GO:0003824[7.5e-09]; GO:0055114[3e-06]; GO:0050662[7.5e-09]; GO:0006694[3e-06]; GO:0016616[3e-06]; GO:0003854[3e-06]
Eucgr.E00006.1.p	-	-	-
Eucgr.E00008.1.p	GO:0006952,GO:0016021	GO:0006952[defense response]; GO:0016021[integral component of membrane]	GO:0006952[9.7e-162]; GO:0016021[9.7e-162]
Eucgr.E00011.1.p	-	-	-
Eucgr.E00011.2.p	-	-	-
Eucgr.E00011.3.p	-	-	-
Eucgr.E00011.5.p	-	-	-
Eucgr.E00013.1.p	-	-	-
Eucgr.E00013.2.p	-	-	-
Eucgr.E00013.3.p	-	-	-
Eucgr.E00014.1.p	GO:0005737,GO:0006796,GO:0004427,GO:0000287	GO:0005737[cytoplasm]; GO:0006796[phosphate-containing compound metabolic process]; GO:0004427[inorganic diphosphatase activity]; GO:0000287[magnesium ion binding]	GO:0005737[3.3e-55]; GO:0006796[3.3e-55]; GO:0004427[3.3e-55]; GO:0000287[3.3e-55]
Eucgr.E00016.1.p	-	-	-
Eucgr.E00017.1.p	GO:0006468,GO:0004672,GO:0005524,GO:0007165	GO:0006468[protein phosphorylation]; GO:0004672[protein kinase activity]; GO:0005524[ATP binding]; GO:0007165[signal transduction]	GO:0006468[2.6e-71]; GO:0004672[2.6e-71]; GO:0005524[2.6e-71]; GO:0007165[5.1e-24]
Eucgr.E00018.1.p	GO:0008270	GO:0008270[zinc ion binding]	GO:0008270[4.6e-36]
Eucgr.E00018.2.p	GO:0008270	GO:0008270[zinc ion binding]	GO:0008270[5.8e-30]
Eucgr.E00022.1.p	GO:0006468,GO:0016773,GO:0004672,GO:0005524,GO:0016020	GO:0006468[protein phosphorylation]; GO:0016773[phosphotransferase activity, alcohol group as acceptor]; GO:0004672[protein kinase activity]; GO:0005524[ATP binding]; GO:0016020[membrane]	GO:0006468[1e-68]; GO:0016773[1e-06]; GO:0004672[1e-68]; GO:0005524[1e-68]; GO:0016020[1e-06]
Eucgr.E00023.1.p	GO:0005506,GO:0016705,GO:0020037,GO:0055114	GO:0005506[iron ion binding]; GO:0016705[oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen]; GO:0020037[heme binding]; GO:0055114[oxidation-reduction process]	GO:0005506[7.8e-80]; GO:0016705[7.8e-80]; GO:0020037[7.8e-80]; GO:0055114[7.8e-80]
Eucgr.E00025.1.p	GO:0005525,GO:0007264	GO:0005525[GTP binding]; GO:0007264[small GTPase mediated signal transduction]	GO:0005525[2.6e-57]; GO:0007264[2.6e-57]
Eucgr.E00026.1.p	GO:0015986,GO:0046933	GO:0015986[ATP synthesis coupled proton transport]; GO:0046933[proton-transporting ATP synthase activity, rotational mechanism]	GO:0015986[1.1e-13]; GO:0046933[1.1e-13]
Eucgr.E00026.2.p	GO:0015986,GO:0046933	GO:0015986[ATP synthesis coupled proton transport]; GO:0046933[proton-transporting ATP synthase activity, rotational mechanism]	GO:0015986[1.2e-13]; GO:0046933[1.2e-13]
Eucgr.E00028.1.p	-	-	-
Eucgr.E00029.1.p	GO:0000166,GO:0046872	GO:0000166[nucleotide binding]; GO:0046872[metal ion binding]	GO:0000166[2.4e-63]; GO:0046872[2.4e-63]
Eucgr.E00029.2.p	GO:0000166,GO:0046872	GO:0000166[nucleotide binding]; GO:0046872[metal ion binding]	GO:0000166[1.5e-63]; GO:0046872[1.5e-63]
Eucgr.E00030.1.p	GO:0003676	GO:0003676[nucleic acid binding]	GO:0003676[8.3e-29]
Eucgr.E00031.1.p	-	-	-
Eucgr.E00035.1.p	GO:0015743,GO:0005886,GO:0006810	GO:0015743[malate transport]; GO:0005886[plasma membrane]; GO:0006810[transport]	GO:0015743[6.9e-152]; GO:0005886[2.3e-10]; GO:0006810[2.3e-10]
Eucgr.E00040.1.p	GO:0005507,GO:0016491,GO:0055114	GO:0005507[copper ion binding]; GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]	GO:0005507[9.4e-44]; GO:0016491[9.4e-44]; GO:0055114[9.4e-44]
Eucgr.E00047.1.p	GO:0046983	GO:0046983[protein dimerization activity]	GO:0046983[7.8e-11]
Eucgr.E00049.1.p	GO:0006777	GO:0006777[Mo-molybdopterin cofactor biosynthetic process]	GO:0006777[8.3e-51]
Eucgr.E00049.2.p	GO:0006777	GO:0006777[Mo-molybdopterin cofactor biosynthetic process]	GO:0006777[8.3e-51]
Eucgr.E00051.1.p	GO:0005509	GO:0005509[calcium ion binding]	GO:0005509[7.7e-18]
Eucgr.E00051.2.p	GO:0005509	GO:0005509[calcium ion binding]	GO:0005509[7.7e-18]
Eucgr.E00052.1.p	-	-	-
Eucgr.E00055.1.p	GO:0030247,GO:0005515,GO:0008270	GO:0030247[polysaccharide binding]; GO:0005515[protein binding]; GO:0008270[zinc ion binding]	GO:0030247[5e-06]; GO:0005515[6e-12]; GO:0008270[6e-12]
Eucgr.E00056.1.p	-	-	-
Eucgr.E00058.1.p	GO:0016021,GO:0051205	GO:0016021[integral component of membrane]; GO:0051205[protein insertion into membrane]	GO:0016021[3.8e-25]; GO:0051205[3.8e-25]
Eucgr.E00058.2.p	GO:0016021,GO:0051205	GO:0016021[integral component of membrane]; GO:0051205[protein insertion into membrane]	GO:0016021[2.5e-20]; GO:0051205[2.5e-20]
Eucgr.E00060.1.p	GO:0016021,GO:0051205	GO:0016021[integral component of membrane]; GO:0051205[protein insertion into membrane]	GO:0016021[1.2e-24]; GO:0051205[1.2e-24]
Eucgr.E00062.1.p	GO:0006811,GO:0005216,GO:0055085,GO:0016020	GO:0006811[ion transport]; GO:0005216[ion channel activity]; GO:0055085[transmembrane transport]; GO:0016020[membrane]	GO:0006811[3.3e-28]; GO:0005216[3.3e-28]; GO:0055085[3.3e-28]; GO:0016020[3.3e-28]
Eucgr.E00063.1.p	GO:0006811,GO:0005216,GO:0055085,GO:0016020	GO:0006811[ion transport]; GO:0005216[ion channel activity]; GO:0055085[transmembrane transport]; GO:0016020[membrane]	GO:0006811[1.1e-35]; GO:0005216[1.1e-35]; GO:0055085[1.1e-35]; GO:0016020[1.1e-35]
Eucgr.E00063.2.p	GO:0006811,GO:0005216,GO:0055085,GO:0016020	GO:0006811[ion transport]; GO:0005216[ion channel activity]; GO:0055085[transmembrane transport]; GO:0016020[membrane]	GO:0006811[8.7e-36]; GO:0005216[8.7e-36]; GO:0055085[8.7e-36]; GO:0016020[8.7e-36]
Eucgr.E00064.1.p	GO:0003677,GO:0003676,GO:0016787,GO:0005524	GO:0003677[DNA binding]; GO:0003676[nucleic acid binding]; GO:0016787[hydrolase activity]; GO:0005524[ATP binding]	GO:0003677[5.5e-07]; GO:0003676[7.9e-44]; GO:0016787[5.5e-07]; GO:0005524[7.9e-44]
Eucgr.E00067.1.p	GO:0004553,GO:0005975	GO:0004553[hydrolase activity, hydrolyzing O-glycosyl compounds]; GO:0005975[carbohydrate metabolic process]	GO:0004553[1.2e-14]; GO:0005975[1.2e-14]
Eucgr.E00069.1.p	-	-	-
Eucgr.E00070.1.p	-	-	-
Eucgr.E00071.1.p	-	-	-
Eucgr.E00073.1.p	GO:0005515	GO:0005515[protein binding]	GO:0005515[7.3e-16]
Eucgr.E00073.2.p	GO:0005515	GO:0005515[protein binding]	GO:0005515[7.3e-16]
Eucgr.E00077.1.p	GO:0005975,GO:0016853	GO:0005975[carbohydrate metabolic process]; GO:0016853[isomerase activity]	GO:0005975[9.9e-68]; GO:0016853[9.9e-68]
Eucgr.E00077.2.p	GO:0005975,GO:0016853	GO:0005975[carbohydrate metabolic process]; GO:0016853[isomerase activity]	GO:0005975[9.9e-68]; GO:0016853[9.9e-68]
Eucgr.E00078.1.p	GO:0043565,GO:0006355,GO:0003700	GO:0043565[sequence-specific DNA binding]; GO:0006355[regulation of transcription, DNA-templated]; GO:0003700[transcription factor activity, sequence-specific DNA binding]	GO:0043565[4.4e-21]; GO:0006355[4.4e-21]; GO:0003700[4.4e-21]
Eucgr.E00078.2.p	GO:0043565,GO:0006355,GO:0003700	GO:0043565[sequence-specific DNA binding]; GO:0006355[regulation of transcription, DNA-templated]; GO:0003700[transcription factor activity, sequence-specific DNA binding]	GO:0043565[4.4e-21]; GO:0006355[4.4e-21]; GO:0003700[4.4e-21]
Eucgr.E00078.3.p	-	-	-
Eucgr.E00080.1.p	GO:0003735,GO:0006412,GO:0005840,GO:0005622	GO:0003735[structural constituent of ribosome]; GO:0006412[translation]; GO:0005840[ribosome]; GO:0005622[intracellular]	GO:0003735[1.7e-31]; GO:0006412[1.7e-31]; GO:0005840[1.7e-31]; GO:0005622[1.7e-31]
Eucgr.E00081.1.p	GO:0005515	GO:0005515[protein binding]	GO:0005515[1.2e-09]
Eucgr.E00082.1.p	GO:0032040	GO:0032040[small-subunit processome]	GO:0032040[5e-42]
Eucgr.E00085.1.p	-	-	-
Eucgr.E00086.1.p	GO:0004553,GO:0005975	GO:0004553[hydrolase activity, hydrolyzing O-glycosyl compounds]; GO:0005975[carbohydrate metabolic process]	GO:0004553[4.6e-31]; GO:0005975[4.6e-31]
Eucgr.E00090.1.p	GO:0004553,GO:0005975	GO:0004553[hydrolase activity, hydrolyzing O-glycosyl compounds]; GO:0005975[carbohydrate metabolic process]	GO:0004553[8.4e-25]; GO:0005975[8.4e-25]
Eucgr.E00091.1.p	GO:0004553,GO:0005975	GO:0004553[hydrolase activity, hydrolyzing O-glycosyl compounds]; GO:0005975[carbohydrate metabolic process]	GO:0004553[1.2e-29]; GO:0005975[1.2e-29]
Eucgr.E00095.1.p	-	-	-
Eucgr.E00096.1.p	GO:0043565,GO:0006355,GO:0003700	GO:0043565[sequence-specific DNA binding]; GO:0006355[regulation of transcription, DNA-templated]; GO:0003700[transcription factor activity, sequence-specific DNA binding]	GO:0043565[7.4e-26]; GO:0006355[7.4e-26]; GO:0003700[7.4e-26]
Eucgr.E00098.1.p	GO:0043565,GO:0006355,GO:0003700	GO:0043565[sequence-specific DNA binding]; GO:0006355[regulation of transcription, DNA-templated]; GO:0003700[transcription factor activity, sequence-specific DNA binding]	GO:0043565[2.3e-25]; GO:0006355[2.3e-25]; GO:0003700[2.3e-25]
Eucgr.E00102.1.p	-	-	-
Eucgr.E00102.2.p	-	-	-
Eucgr.E00102.3.p	-	-	-
Eucgr.E00102.4.p	-	-	-
Eucgr.E00105.1.p	GO:0004650,GO:0005975	GO:0004650[polygalacturonase activity]; GO:0005975[carbohydrate metabolic process]	GO:0004650[2.8e-39]; GO:0005975[2.8e-39]
Eucgr.E00106.1.p	GO:0016020,GO:0016757	GO:0016020[membrane]; GO:0016757[transferase activity, transferring glycosyl groups]	GO:0016020[1.1e-13]; GO:0016757[1.1e-13]
Eucgr.E00107.1.p	GO:0016491,GO:0055114	GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]	GO:0016491[5.9e-30]; GO:0055114[5.9e-30]
Eucgr.E00107.2.p	GO:0016491,GO:0055114	GO:0016491[oxidoreductase activity]; GO:0055114[oxidation-reduction process]	GO:0016491[3.1e-22]; GO:0055114[3.1e-22]
Eucgr.E00109.1.p	-	-	-
Eucgr.E00113.1.p	-	-	-
Eucgr.E00114.1.p	GO:0006468,GO:0004672,GO:0005524	GO:0006468[protein phosphorylation]; GO:0004672[protein kinase activity]; GO:0005524[ATP binding]	GO:0006468[2.5e-52]; GO:0004672[2.5e-52]; GO:0005524[2.5e-52]
Eucgr.E00115.1.p	GO:0005680,GO:0005515,GO:0008270,GO:0004842,GO:0046872	GO:0005680[anaphase-promoting complex]; GO:0005515[protein binding]; GO:0008270[zinc ion binding]; GO:0004842[ubiquitin-protein transferase activity]; GO:0046872[metal ion binding]	GO:0005680[2.3e-07]; GO:0005515[4.7e-12]; GO:0008270[4.7e-12]; GO:0004842[2.3e-07]; GO:0046872[1.1e-08]
Eucgr.E00115.2.p	GO:0005680,GO:0005515,GO:0008270,GO:0004842,GO:0046872	GO:0005680[anaphase-promoting complex]; GO:0005515[protein binding]; GO:0008270[zinc ion binding]; GO:0004842[ubiquitin-protein transferase activity]; GO:0046872[metal ion binding]	GO:0005680[2.2e-07]; GO:0005515[4.5e-12]; GO:0008270[4.5e-12]; GO:0004842[2.2e-07]; GO:0046872[1e-08]
Eucgr.E00118.1.p	-	-	-
Eucgr.E00118.2.p	-	-	-
Eucgr.E00118.3.p	-	-	-
Eucgr.E00119.1.p	-	-	-
Eucgr.E00121.1.p	GO:0016746,GO:0008152	GO:0016746[transferase activity, transferring acyl groups]; GO:0008152[metabolic process]	GO:0016746[7.6e-07]; GO:0008152[7.6e-07]
Eucgr.E00126.1.p	GO:0006468,GO:0004672,GO:0005524	GO:0006468[protein phosphorylation]; GO:0004672[protein kinase activity]; GO:0005524[ATP binding]	GO:0006468[1.1e-42]; GO:0004672[1.1e-42]; GO:0005524[1.1e-42]
Eucgr.E00127.1.p	GO:0006468,GO:0004672,GO:0005524	GO:0006468[protein phosphorylation]; GO:0004672[protein kinase activity]; GO:0005524[ATP binding]	GO:0006468[2.6e-43]; GO:0004672[2.6e-43]; GO:0005524[4.3e-43]
Eucgr.E00128.1.p	GO:0006468,GO:0004672,GO:0005524	GO:0006468[protein phosphorylation]; GO:0004672[protein kinase activity]; GO:0005524[ATP binding]	GO:0006468[3.7e-42]; GO:0004672[3.7e-42]; GO:0005524[3.7e-42]
Eucgr.E00131.1.p	GO:0006468,GO:0004672,GO:0005524	GO:0006468[protein phosphorylation]; GO:0004672[protein kinase activity]; GO:0005524[ATP binding]	GO:0006468[7.2e-44]; GO:0004672[7.2e-44]; GO:0005524[7.2e-44]
Eucgr.E00134.1.p	GO:0006468,GO:0004672,GO:0005524	GO:0006468[protein phosphorylation]; GO:0004672[protein kinase activity]; GO:0005524[ATP binding]	GO:0006468[5.8e-45]; GO:0004672[5.8e-45]; GO:0005524[5.8e-45]
Eucgr.E00136.1.p	GO:0006357,GO:0001104,GO:0016592	GO:0006357[regulation of transcription from RNA polymerase II promoter]; GO:0001104[RNA polymerase II transcription cofactor activity]; GO:0016592[mediator complex]	GO:0006357[1.1e-18]; GO:0001104[1.1e-18]; GO:0016592[1.1e-18]
Eucgr.E00136.2.p	GO:0006357,GO:0001104,GO:0016592	GO:0006357[regulation of transcription from RNA polymerase II promoter]; GO:0001104[RNA polymerase II transcription cofactor activity]; GO:0016592[mediator complex]	GO:0006357[1.1e-18]; GO:0001104[1.1e-18]; GO:0016592[1.1e-18]
Eucgr.E00139.1.p	GO:0016161,GO:0000272	GO:0016161[beta-amylase activity]; GO:0000272[polysaccharide catabolic process]	GO:0016161[5.5e-105]; GO:0000272[5.5e-105]
Eucgr.E00139.2.p	GO:0016161,GO:0000272	GO:0016161[beta-amylase activity]; GO:0000272[polysaccharide catabolic process]	GO:0016161[5.5e-105]; GO:0000272[5.5e-105]
Eucgr.E00140.1.p	GO:0016042,GO:0006629	GO:0016042[lipid catabolic process]; GO:0006629[lipid metabolic process]	GO:0016042[1.2e-17]; GO:0006629[2.1e-11]
Eucgr.E00141.1.p	-	-	-
Eucgr.E00141.2.p	-	-	-
Eucgr.E00143.1.p	GO:0005515	GO:0005515[protein binding]	GO:0005515[2.2e-47]
Eucgr.E00143.2.p	GO:0005515	GO:0005515[protein binding]	GO:0005515[2.2e-47]
Eucgr.E00148.1.p	GO:0005515	GO:0005515[protein binding]	GO:0005515[8e-47]
Eucgr.E00152.1.p	GO:0005515	GO:0005515[protein binding]	GO:0005515[3.3e-17]
Eucgr.E00159.1.p	GO:0006468,GO:0004672,GO:0005524	GO:0006468[protein phosphorylation]; GO:0004672[protein kinase activity]; GO:0005524[ATP binding]	GO:0006468[7.1e-28]; GO:0004672[7.1e-28]; GO:0005524[7.1e-26]
Eucgr.E00163.1.p	-	-	-
Eucgr.E00167.1.p	-	-	-
Eucgr.E00168.1.p	-	-	-
Eucgr.E00171.1.p	-	-	-
Eucgr.E00173.1.p	GO:0003723,GO:0006396,GO:0004000	GO:0003723[RNA binding]; GO:0006396[RNA processing]; GO:0004000[adenosine deaminase activity]	GO:0003723[4.1e-83]; GO:0006396[4.1e-83]; GO:0004000[4.1e-83]
Eucgr.E00176.1.p	GO:0006378,GO:0005849,GO:0003729	GO:0006378[mRNA polyadenylation]; GO:0005849[mRNA cleavage factor complex]; GO:0003729[mRNA binding]	GO:0006378[1.3e-79]; GO:0005849[1.3e-79]; GO:0003729[1.3e-79]
Eucgr.E00176.2.p	GO:0006378,GO:0005849,GO:0003729	GO:0006378[mRNA polyadenylation]; GO:0005849[mRNA cleavage factor complex]; GO:0003729[mRNA binding]	GO:0006378[5.2e-83]; GO:0005849[5.2e-83]; GO:0003729[5.2e-83]
Eucgr.E00176.3.p	GO:0006378,GO:0005849,GO:0003729	GO:0006378[mRNA polyadenylation]; GO:0005849[mRNA cleavage factor complex]; GO:0003729[mRNA binding]	GO:0006378[4.8e-83]; GO:0005849[4.8e-83]; GO:0003729[4.8e-83]
Eucgr.E00176.4.p	GO:0006378,GO:0005849,GO:0003729	GO:0006378[mRNA polyadenylation]; GO:0005849[mRNA cleavage factor complex]; GO:0003729[mRNA binding]	GO:0006378[8.6e-75]; GO:0005849[8.6e-75]; GO:0003729[8.6e-75]
Eucgr.E00176.5.p	GO:0006378,GO:0005849,GO:0003729	GO:0006378[mRNA polyadenylation]; GO:0005849[mRNA cleavage factor complex]; GO:0003729[mRNA binding]	GO:0006378[1.3e-58]; GO:0005849[1.3e-58]; GO:0003729[1.3e-58]
Eucgr.E00177.1.p	-	-	-
Eucgr.E00177.2.p	-	-	-
Eucgr.E00177.3.p	-	-	-
Eucgr.E00179.1.p	GO:0008270	GO:0008270[zinc ion binding]	GO:0008270[1.2e-21]
Eucgr.E00180.1.p	GO:0006813,GO:0016021,GO:0015299,GO:0006812,GO:0055085	GO:0006813[potassium ion transport]; GO:0016021[integral component of membrane]; GO:0015299[solute:proton antiporter activity]; GO:0006812[cation transport]; GO:0055085[transmembrane transport]	GO:0006813[1.6e-21]; GO:0016021[1.5e-56]; GO:0015299[1.5e-56]; GO:0006812[1.5e-56]; GO:0055085[1.5e-56]
Eucgr.E00181.1.p	GO:0009396,GO:0003824,GO:0055114,GO:0004488	GO:0009396[folic acid-containing compound biosynthetic process]; GO:0003824[catalytic activity]; GO:0055114[oxidation-reduction process]; GO:0004488[methylenetetrahydrofolate dehydrogenase (NADP+) activity]	GO:0009396[1.6e-68]; GO:0003824[1.6e-68]; GO:0055114[1.6e-68]; GO:0004488[1.6e-68]
Eucgr.E00184.1.p	GO:0005737,GO:0004615,GO:0009298	GO:0005737[cytoplasm]; GO:0004615[phosphomannomutase activity]; GO:0009298[GDP-mannose biosynthetic process]	GO:0005737[9e-98]; GO:0004615[9e-98]; GO:0009298[9e-98]
